iter	Passed	Remaining
0	195	584978
1	261	391822
2	316	316321
3	367	275228
4	432	259281
5	483	241056
6	539	230654
7	597	223294
8	660	219487
9	723	216311
10	783	212866
11	840	209273
12	889	204281
13	957	204201
14	1028	204755
15	1081	201647
16	1143	200603
17	1200	198919
18	1257	197253
19	1306	194657
20	1386	196636
21	1445	195605
22	1511	195655
23	1580	195934
24	1647	196083
25	1712	195833
26	1767	194569
27	1822	193481
28	1877	192340
29	1946	192680
30	2024	193905
31	2084	193330
32	2149	193247
33	2218	193501
34	2272	192537
35	2329	191828
36	2383	190913
37	2424	188980
38	2491	189149
39	2553	188930
40	2615	188774
41	2690	189485
42	2758	189728
43	2819	189415
44	2883	189380
45	2948	189355
46	3007	188930
47	3062	188373
48	3121	187964
49	3183	187817
50	3252	188061
51	3310	187707
52	3367	187238
53	3427	187004
54	3484	186557
55	3539	186053
56	3602	186021
57	3675	186459
58	3731	186028
59	3789	185666
60	3845	185293
61	3888	184252
62	3945	183923
63	3989	183034
64	4047	182739
65	4096	182099
66	4140	181237
67	4198	181011
68	4248	180465
69	4306	180254
70	4362	179986
71	4419	179713
72	4472	179346
73	4529	179090
74	4604	179567
75	4664	179459
76	4723	179317
77	4780	179100
78	4833	178702
79	4890	178486
80	4956	178619
81	5014	178429
82	5070	178211
83	5124	177894
84	5178	177607
85	5230	177227
86	5284	176948
87	5340	176737
88	5392	176376
89	5454	176376
90	5534	176917
91	5611	177380
92	5667	177167
93	5722	176910
94	5785	176911
95	5838	176623
96	5892	176336
97	5952	176253
98	6007	176039
99	6067	175955
100	6122	175745
101	6168	175262
102	6214	174790
103	6255	174200
104	6310	173999
