iter	Logloss
0	0.686574812
1	0.6820468507
2	0.6752739209
3	0.6685045018
4	0.6620235487
5	0.6580918951
6	0.6541706625
7	0.6483947907
8	0.6425246488
9	0.6357208801
10	0.6301360592
11	0.6248209919
12	0.6214331532
13	0.6162394336
14	0.6104239964
15	0.6077157451
16	0.6028366696
17	0.5997693602
18	0.595448263
19	0.5910536079
20	0.5857219644
21	0.5814730512
22	0.5769109262
23	0.5746644675
24	0.5704764554
25	0.5678945087
26	0.5639422757
27	0.5605910366
28	0.5582402272
29	0.5537026561
30	0.5512027482
31	0.5489378
32	0.5452259918
33	0.5407807219
34	0.5376637824
35	0.5358687608
36	0.5341952422
37	0.5329731648
38	0.5297948106
39	0.5267655551
40	0.5253943405
41	0.5222700813
42	0.5205703193
43	0.5178788944
44	0.5162941317
45	0.5131577094
46	0.5103972857
47	0.5086543333
48	0.5073110815
49	0.504646507
50	0.5033258713
51	0.5007372717
52	0.4996997204
53	0.4974705763
54	0.4951637143
55	0.4927877115
56	0.4906791664
57	0.4883126959
58	0.4861867922
59	0.483736527
60	0.4815851749
61	0.4795017931
62	0.478489182
63	0.4766874395
64	0.4745039969
65	0.4726057826
66	0.4709932008
67	0.4692455144
68	0.4684058544
69	0.4674963472
70	0.4655753707
71	0.4648483262
72	0.4641095254
73	0.4623860151
74	0.460570511
75	0.4594978858
76	0.4588508337
77	0.4573251188
78	0.4565915788
79	0.4559367232
80	0.4545251513
81	0.4528426504
82	0.4520781406
83	0.4501284073
84	0.4484702326
85	0.4471494168
86	0.4457299774
87	0.4438983765
88	0.4433295971
89	0.4428012133
90	0.4423230486
91	0.4410142082
92	0.4404344934
93	0.4392302798
94	0.4375341012
95	0.4369286367
96	0.4365040833
97	0.4360158953
98	0.4349815209
99	0.4336427254
100	0.4325716918
101	0.4316229265
102	0.4307115194
103	0.4303646292
104	0.4294002347
